speakers,durations,topics,views,descriptions,tags,lengths
David Blaine,1219,How I held my breath for 17 minutes,27563922,In this highly personal talk from TEDMED magician and stuntman David Blaine describes what it took to hold his breath underwater for 17 minutes  a world record only two minutes shorter than this entire talk  and what his often deathdefying work means to him Warning do NOT try this at home,biology|magic|medicine|performance,0:20:19
Susan Cain,1144,The power of introverts,27336647,In a culture where being social and outgoing are prized above all else it can be difficult even shameful to be an introvert But as Susan Cain argues in this passionate talk introverts bring extraordinary talents and abilities to the world and should be encouraged and celebrated,business|culture|psychology|introvert,0:19:04
Jill Bolte Taylor,1099,My stroke of insight,27116814,Jill Bolte Taylor got a research opportunity few brain scientists would wish for She had a massive stroke and watched as her brain functions  motion speech selfawareness  shut down one by one An astonishing story,biology|brain|consciousness|global issues|illness|science,0:18:19
Dan Pink,1116,The puzzle of motivation,26430039,Career analyst Dan Pink examines the puzzle of motivation starting with a fact that social scientists know but most managers dont Traditional rewards arent always as effective as we think Listen for illuminating stories  and maybe a way forward,brain|business|creativity|motivation|science|social change|work,0:18:36
Jon Ronson,1081,Strange answers to the psychopath test,26254980,Is there a definitive line that divides crazy from sane With a hairraising delivery Jon Ronson author of The Psychopath Test illuminates the gray areas between the two With livemixed sound by Julian Treasure and animation by Evan Grant,culture|mind|prison|storytelling,0:18:01
Kelly McGonigal,868,How to make stress your friend,24999952,Stress It makes your heart pound your breathing quicken and your forehead sweat But while stress has been made into a public health enemy new research suggests that stress may only be bad for you if you believe that to be the case Psychologist Kelly McGonigal urges us to see stress as a positive and introduces us to an unsung mechanism for stress reduction reaching out to others,body language|health|psychology|mindfulness,0:14:28
Mel Robbins,1300,How to stop screwing yourself over,24987296,How do you get on the road to being happier Start by setting your alarm for 30 minutes earlier than usual and not hitting the snooze button The effort required to leave that warm bed and enter the world is the same amount of effort needed to shake up your life and make that elusive change In this humorous and provocative talk Mel Robbins explains how turning off our brains autopilot and demolishing our comfort zones is key to a rewarding life ,personal growth|life|goal-setting|happiness|mind|self|psychology|success|motivation,0:21:40
Chimamanda Ngozi Adichie,1129,The danger of a single story,24773599,Our lives our cultures are composed of many overlapping stories Novelist Chimamanda Adichie tells the story of how she found her authentic cultural voice  and warns that if we hear only a single story about another person or country we risk a critical misunderstanding,Africa|culture|identity|storytelling|writing|books,0:18:49
James Veitch,460,The agony of trying to unsubscribe,24076541,It happens to all of us you unsubscribe from an unwanted marketing email and a few days later another message from the same company pops up in your inbox Comedian James Veitch turned this frustration into whimsy when a local supermarket refused to take no for an answer Hijinks ensued,communication|comedy|technology|humor|business,0:07:40
Shawn Achor,740,The happy secret to better work,22886197,We believe we should work hard in order to be happy but could we be thinking about things backwards In this fastmoving and very funny talk psychologist Shawn Achor argues that actually happiness inspires us to be more productive,|business|happiness|psychology|science|brain|mind|cognitive science|sociology|depression|mental health|health|motivation|innovation|work|productivity|social change,0:12:20
Celeste Headlee,704,10 ways to have a better conversation,22274044,When your job hinges on how well you talk to people you learn a lot about how to have conversations  and that most of us dont converse very well Celeste Headlee has worked as a radio host for decades and she knows the ingredients of a great conversation Honesty brevity clarity and a healthy amount of listening In this insightful talk she shares 10 useful rules for having better conversations Go out talk to people listen to people she says And most importantly be prepared to be amazed,communication|interview|personal growth||language,0:11:44
Angela Lee Duckworth,372,Grit The power of passion and perseverance,21855063,Leaving a highflying job in consulting Angela Lee Duckworth took a job teaching math to seventh graders in a New York public school She quickly realized that IQ wasnt the only thing separating the successful students from those who struggled Here she explains her theory of grit as a predictor of success,business|education|psychology|success,0:06:12
Chris Anderson ,727,Questions no one knows the answers to,21292174,TED curator Chris Anderson shares his obsession with questions that no one yet knows the answers to A short intro leads into two questions Why cant we see evidence of alien life And how many universes are there,|education|mind|science|philosophy|space|Planets|consciousness|math|physics|extraterrestrial life|curiosity|cosmos|universe|String theory|dark matter|nanoscale,0:12:07
Elizabeth Gilbert,1149,Your elusive creative genius,19796407,Elizabeth Gilbert muses on the impossible things we expect from artists and geniuses  and shares the radical idea that instead of the rare person being a genius all of us have a genius Its a funny personal and surprisingly moving talk,creativity|culture|entertainment|poetry|work|writing|personality,0:19:09
Alex Gendler,259,Can you solve the prisoner hat riddle,19558355,You and nine other individuals have been captured by superintelligent alien overlords The aliens think humans look quite tasty but their civilization forbids eating highly logical and cooperative beings Unfortunately theyre not sure whether you qualify so they decide to give you all a test Can you solve this hat riddle Alex Gendler shows how Directed by Artrake Studio narrated by Addison Anderson music by WORKPLAYWORK and Cem Misirlioglu,collaboration|creativity|memory|philosophy||animation,0:04:19
Michael Mauser,230,What are those floaty things in your eye,19204549,Sometimes against a uniform bright background such as a clear sky or a blank computer screen you might see things floating across your field of vision What are these moving objects and how are you seeing them Michael Mauser explains the visual phenomenon that is floaters Directed by Reflective Films narrated by PenPen Chen,health||human body|animation|science|biology,0:03:50
Jeff Dekofsky,346,The Infinite Hotel Paradox,19190256,The Infinite Hotel a thought experiment created by German mathematician David Hilbert is a hotel with an infinite number of rooms Easy to comprehend right Wrong What if its completely booked but one person wants to check in What about 40 Or an infinitely full bus of people Jeff Dekofsky solves these heady lodging issues using Hilberts paradox Directed by The Moving Company Animation Studio narrated by Addison Anderson,animation||math,0:05:46
Dan Gilbert,1276,The surprising science of happiness,19175522,Dan Gilbert author of Stumbling on Happiness challenges the idea that well be miserable if we dont get what we want Our psychological immune system lets us feel truly happy even when things dont go as planned,brain|choice|culture|evolution|happiness|psychology|science,0:21:16
Pranav Mistry,830,The thrilling potential of SixthSense technology,18972862,At TEDIndia Pranav Mistry demos several tools that help the physical world interact with the world of data  including a deep look at his SixthSense device and a new paradigmshifting paper laptop In an onstage QampA Mistry says hell opensource the software behind SixthSense to open its possibilities to all,demo|design|open-source|technology,0:13:50
Elon Musk,2450,The future were building  and boring,18710575,Elon Musk discusses his new project digging tunnels under LA the latest from Tesla and SpaceX and his motivation for building a future on Mars in conversation with TEDs Head Curator Chris Anderson,aircraft|cities|energy|design|business|engineering|entrepreneur|environment|exploration|global development|future|humanity|industrial design|infrastructure|intelligence|innovation|invention|manufacturing|Mars|product design|science|social change|society|solar energy|technology|universe,0:40:50
Sir Ken Robinson,1164,Do schools kill creativity,68355856,Sir Ken Robinson makes an entertaining and profoundly moving case for creating an education system that nurtures rather than undermines creativity,children|creativity|culture|dance|education|parenting|teaching,0:19:24
Monica Lewinsky,1346,The price of shame,18493651,Public shaming as a blood sport has to stop says Monica Lewinsky In 1998 she says I was Patient Zero of losing a personal reputation on a global scale almost instantaneously Today the kind of online public shaming she went through has become constant  and can turn deadly In a brave talk she takes a hard look at our online culture of humiliation and asks for a different way,communication|media|social media|suicide|technology,0:22:26
Keith Barry,1189,Brain magic,18374252,First Keith Barry shows us how our brains can fool our bodies  in a trick that works via podcast too Then he involves the audience in some jawdropping and even a bit dangerous feats of brain magic,brain|entertainment|illusion|magic,0:19:49
Hyeonseo Lee,735,My escape from North Korea,17833561,As a child growing up in North Korea Hyeonseo Lee thought her country was the best on the planet It wasnt until the famine of the 90s that she began to wonder She escaped the country at 14 to begin a life in hiding as a refugee in China Hers is a harrowing personal tale of survival and hope  and a powerful reminder of those who face constant danger even when the border is far behind,Asia|culture|family|global issues,0:12:15
Esther Perel,1150,The secret to desire in a longterm relationship,17190712,In longterm relationships we often expect our beloved to be both best friend and erotic partner But as Esther Perel argues good and committed sex draws on two conflicting needs our need for security and our need for surprise So how do you sustain desire With wit and eloquence Perel lets us in on the mystery of erotic intelligence,culture|love|relationships|sex,0:19:10
Alex Gendler,214,Can you solve the bridge riddle,17185107,Taking that internship in a remote mountain lab might not have been the best idea Pulling that lever with the skull symbol just to see what it did probably wasnt so smart either But now is not the time for regrets because you need to get away from these mutant zombiesfast Can you use math to get you and your friends over the bridge before the zombies arrive Alex Gendler shows how Directed by Artrake Studio narrated by Addison Anderson music by WORKPLAYWORK and Cem Misirlioglu ,creativity|design|animation||math,0:03:34
Maz Jobrani,431,A Saudi an Indian and an Iranian walk into a Qatari bar ,17133709,IranianAmerican comedian Maz Jobrani takes to the TEDxSummit stage in Doha Qatar to take on serious issues in the Middle East  like how many kisses to give when saying Hi and what not to say on an American airplane,Middle East||comedy|culture|entertainment|humor|performance,0:07:11
Adam Grant,925,The surprising habits of original thinkers,16924567,How do creative people come up with great ideas Organizational psychologist Adam Grant studies originals thinkers who dream up new ideas and take action to put them into the world In this talk learn three unexpected habits of originals  including embracing failure The greatest originals are the ones who fail the most because theyre the ones who try the most Grant says You need a lot of bad ideas in order to get a few good ones,business|creativity|curiosity|exploration|decision-making|failure|innovation|invention|leadership|personal growth|motivation|potential|success|work,0:15:25
Daniel Levitin,740,How to stay calm when you know youll be stressed,16720657,Youre not at your best when youre stressed In fact your brain has evolved over millennia to release cortisol in stressful situations inhibiting rational logical thinking but potentially helping you survive say being attacked by a lion Neuroscientist Daniel Levitin thinks theres a way to avoid making critical mistakes in stressful situations when your thinking becomes clouded  the premortem We all are going to fail now and then he says The idea is to think ahead to what those failures might be,brain|health|mental health|neuroscience|memory|cognitive science|medicine,0:12:20
Johann Hari,882,Everything you think you know about addiction is wrong,16549683,What really causes addiction  to everything from cocaine to smartphones And how can we overcome it Johann Hari has seen our current methods fail firsthand as he has watched loved ones struggle to manage their addictions He started to wonder why we treat addicts the way we do  and if there might be a better way As he shares in this deeply personal talk his questions took him around the world and unearthed some surprising and hopeful ways of thinking about an ageold problem,culture|policy|society|addiction|narcotics,0:14:42
David Gallo,327,Underwater astonishments,16088564,David Gallo shows jawdropping footage of amazing sea creatures including a colorshifting cuttlefish a perfectly camouflaged octopus and a Times Squares worth of neon light displays from fish who live in the blackest depths of the ocean This short talk celebrates the pioneering work of ocean explorers like Edith Widder and Roger Hanlon,animals|evolution|exploration|fish|oceans|science|technology|marine biology,0:05:27
Esther Perel,1291,Rethinking infidelity  a talk for anyone who has ever loved,16029333,Infidelity is the ultimate betrayal But does it have to be Relationship therapist Esther Perel examines why people cheat and unpacks why affairs are so traumatic because they threaten our emotional security In infidelity she sees something unexpected  an expression of longing and loss A mustwatch for anyone who has ever cheated or been cheated on or who simply wants a new framework for understanding relationships,culture|love|relationships|sex,0:21:31
Judson Brewer,564,A simple way to break a bad habit,16000980,Can we break bad habits by being more curious about them Psychiatrist Judson Brewer studies the relationship between mindfulness and addiction  from smoking to overeating to all those other things we do even though we know theyre bad for us Learn more about the mechanism of habit development and discover a simple but profound tactic that might help you beat your next urge to smoke snack or check a text while driving,|brain|choice|cognitive science|curiosity|health|decision-making|mental health|meditation|mindfulness|motivation|neuroscience|nature|mind|obesity|personal growth|science|addiction,0:09:24
Richard St John,210,8 secrets of success,15017668,Why do people succeed Is it because theyre smart Or are they just lucky Neither Analyst Richard St John condenses years of interviews into an unmissable 3minute slideshow on the real secrets of success,business|culture|entertainment|happiness|psychology|success|work,0:03:30
Barry Schwartz,1177,The paradox of choice,14989663,Psychologist Barry Schwartz takes aim at a central tenet of western societies freedom of choice In Schwartzs estimation choice has made us not freer but more paralyzed not happier but more dissatisfied,business|choice|culture|decision-making|economics|happiness|personal growth|potential|psychology,0:19:37
Sarah Kay,1105,If I should have a daughter ,14908676,If I should have a daughter instead of Mom shes gonna call me Point B   began spoken word poet Sarah Kay in a talk that inspired two standing ovations at TED2011 She tells the story of her metamorphosis  from a wideeyed teenager soaking in verse at New Yorks Bowery Poetry Club to a teacher connecting kids with the power of selfexpression through Project VOICE  and gives two breathtaking performances of B and Hiroshima Sarah is also the host of TEDs podcast Sincerely X,entertainment|performance|poetry|storytelling|performance art|spoken word,0:18:25
Bren Brown,1238,Listening to shame,14796653,Shame is an unspoken epidemic the secret behind many forms of broken behavior Bren Brown whose earlier talk on vulnerability became a viral hit explores what can happen when people confront their shame headon Her own humor humanity and vulnerability shine through every word,brain|culture|psychology|self,0:20:38
Hans Rosling,1190,The best stats youve ever seen,14795543,Youve never seen data presented like this With the drama and urgency of a sportscaster statistics guru Hans Rosling debunks myths about the socalled developing world,Africa|Asia|Google|demo|economics|global issues|health|statistics|global development|visualizations|math,0:19:50
Hugh Herr,1140,The new bionics that let us run climb and dance,14770377,Hugh Herr is building the next generation of bionic limbs robotic prosthetics inspired by natures own designs Herr lost both legs in a climbing accident 30 years ago now as the head of the MIT Media Labs Biomechatronics group he shows his incredible technology in a talk thats both technical and deeply personal  with the help of ballroom dancer Adrianne HasletDavis who lost her left leg in the 2013 Boston Marathon bombing and performs again for the first time on the TED stage,dance|prosthetics|technology|bionics,0:19:00
BLACK,628,My journey to yoyo mastery,14531760,Remember the days you struggled just to make a yoyo spin and if you were really fancy to walk the dog You aint seen nothin yet Japanese yoyo world champion BLACK tells the inspiring story of finding his lifes passion and gives an awesome performance that will make you want to pull your yoyo back out of the closet,dance|entertainment|performance|toy,0:10:28
Noah Zandan,326,The language of lying,14393257,We hear anywhere from 10 to 200 lies a day And although weve spent much of our history coming up with ways to detect these lies by tracking physiological changes in their tellers these methods have proved unreliable Is there a more direct approach Noah Zandan uses some famous examples of lying to illustrate how we might use communications science to analyze the lies themselves Directed by Nadav Arbel narrated by Noah Zandan,consciousness|history|sociology|psychology|education|language||animation|communication,0:05:26
Benjamin Zander,1243,The transformative power of classical music,14279676,Benjamin Zander has two infectious passions classical music and helping us all realize our untapped love for it  and by extension our untapped love for all new possibilities new experiences new connections,conducting|creativity|culture|entertainment|live music|music|performance,0:20:43
Mariana Atencio,1067,What makes you special,14109301,When journalist Mariana Atencio was seven her father sent her from her home in Venezuela to a summer camp in Brainerd Minnesota Unsurprisingly she was treated like an outsider Over the course of many more such camps and a senior year in an American high school she discovered that the best way to belong was to embrace the qualities that made her different In this deeply personal talk Atencio describes how these early lessons helped her succeed as an immigrant and as a journalist,journalism|immigration|personal growth|life|identity,0:17:47
Simon Sinek,719,Why good leaders make you feel safe,13907020,What makes a great leader Management theorist Simon Sinek suggests its someone who makes their employees feel secure who draws staffers into a circle of trust But creating trust and safety  especially in an uneven economy  means taking on big responsibility,business|leadership|military|work,0:11:59
Brian Little,915,Who are you really The puzzle of personality,13229843,What makes you you Psychologists like to talk about our traits or defined characteristics that make us who we are But Brian Little is more interested in moments when we transcend those traits  sometimes because our culture demands it of us and sometimes because we demand it of ourselves Join Little as he dissects the surprising differences between introverts and extroverts and explains why your personality may be more malleable than you think,communication|humanity|personality|identity|humor|self|psychology|introvert|TED Books,0:15:15
Stephen Hawking,612,Questioning the universe,13139823,In keeping with the theme of TED2008 professor Stephen Hawking asks some Big Questions about our universe  How did the universe begin How did life begin Are we alone  and discusses how we might go about answering them,String theory|evolution|math|physics|science|time|universe,0:10:12
Matt Cutts,207,Try something new for 30 days,12992420,Is there something youve always meant to do wanted to do but just  havent Matt Cutts suggests Try it for 30 days This short lighthearted talk offers a neat way to think about setting and achieving goals,culture|success,0:03:27
Raffaello DAndrea,968,The astounding athletic power of quadcopters,12968422,In a robot lab at TEDGlobal Raffaello DAndrea demos his flying quadcopters robots that think like athletes solving physical problems with algorithms that help them learn In a series of nifty demos DAndrea show drones that play catch balance and make decisions together  and watch out for an Iwantthisnow demo of Kinectcontrolled quads,drones|robots|technology,0:16:08
Amanda Palmer,827,The art of asking,12415836,Dont make people pay for music says Amanda Palmer Let them In a passionate talk that begins in her days as a street performer drop a dollar in the hat for the EightFoot Bride she examines the new relationship between artist and fan,business|entertainment|music|performance art,0:13:47
Rose Eveleth,145,The loathsome lethal mosquito,12175100,Everyone hates mosquitos Besides the annoying buzzing and biting mosquitoborne diseases like malaria kill over a million people each year plus horses dogs and cats And over the past 100 million years theyve gotten good at their job  sucking up to three times their weight in blood totally undetected So shouldnt we just get rid of them Rose Eveleth shares why scientists arent sure Directed by Karrot Animation narrated by Rose Eveleth,animation||animals|disease|biology|climate change|science|evolution|insects,0:02:25
Matt Walker,1158,Sleep is your superpower,12169525,Sleep is your lifesupport system and Mother Natures best effort yet at immortality says sleep scientist Matt Walker In this deep dive into the science of slumber Walker shares the wonderfully good things that happen when you get sleep  and the alarmingly bad things that happen when you dont for both your brain and body Learn more about sleeps impact on your learning memory immune system and even your genetic code  as well as some helpful tips for getting some shuteye,sleep|medicine|health|medical research|biology|neuroscience|brain|mind|human body|science|memory,0:19:18
Reggie Watts,583,Beats that defy boxes,12081914,Reggie Watts beats defy boxes Unplug your logic board and watch as he blends poetry and crosses musical genres in this largerthanlife performance,entertainment|humor|live music|music|performance|poetry|comedy,0:09:43
Andy Puddicombe,564,All it takes is 10 mindful minutes,12019597,When is the last time you did absolutely nothing for 10 whole minutes Not texting talking or even thinking Mindfulness expert Andy Puddicombe describes the transformative power of doing just that Refreshing your mind for 10 minutes a day simply by being mindful and experiencing the present moment No need for incense or sitting in uncomfortable positions,Buddhism|body language|culture|happiness|health|meditation|mindfulness|productivity|success|work,0:09:24
Rita Pierson,468,Every kid needs a champion,12002485,Rita Pierson a teacher for 40 years once heard a colleague say They dont pay me to like the kids Her response Kids dont learn from people they dont like A rousing call to educators to believe in their students and actually connect with them on a real human personal level,children|education|motivation|teaching,0:07:48
David Christian,1060,The history of our world in 18 minutes,11977147,Backed by stunning illustrations David Christian narrates a complete history of the universe from the Big Bang to the Internet in a riveting 18 minutes This is Big History an enlightening wideangle look at complexity life and humanity set against our slim share of the cosmic timeline,Internet|big bang|cosmos|history|humanity|universe|visualizations,0:17:40
Thomas Suarez,280,A 12yearold app developer,11844215,Most 12yearolds love playing videogames  but Thomas Suarez taught himself how to create them After developing iPhone apps like Bustin Jeiber a whackamole game he is now using his skills to help other kids become developers,|education|entertainment|technology|youth|code,0:04:40
Alex Gendler,267,Can you solve the famously difficult greeneyed logic puzzle,11775797,One hundred greeneyed logicians have been imprisoned on an island by a mad dictator Their only hope for freedom lies in the answer to one famously difficult logic puzzle Can you solve it Alex Gendler walks us through this greeneyed riddle Directed by Artrake Studio narrated by Addison Anderson,philosophy|psychology|sociology||animation,0:04:27
Greg Gage,352,How to control someone elses arm with your brain,11752574,Greg Gage is on a mission to make brain science accessible to all In this fun kind of creepy demo the neuroscientist and TED Senior Fellow uses a simple inexpensive DIY kit to take away the free will of an audience member Its not a parlor trick it actually works You have to see it to believe it,|brain|demo|neuroscience|science|biotech|physiology|technology|biology,0:05:52
Carol Dweck,620,The power of believing that you can improve,11728856,Carol Dweck researches growth mindset  the idea that we can grow our brains capacity to learn and to solve problems In this talk she describes two ways to think about a problem thats slightly too hard for you to solve Are you not smart enough to solve it  or have you just not solved it yet A great introduction to this influential field,|brain|business|education|intelligence|personal growth|psychology,0:10:20
Jeffrey Siegel,244,What makes muscles grow,11725334,We have over 600 muscles in our bodies that help bind us together hold us up and help us move Your muscles also need your constant attention because the way you treat them on a daily basis determines whether they will wither or grow Jeffrey Siegel illustrates how a good mix of sleep nutrition and exercise keep your muscles as big and strong as possible Directed by Brett Underhill narrated by Addison Anderson,health|public health|human body|health care|healthcare||animation|biology|physiology|exercise|science|food,0:04:04
BJ Miller,1147,What really matters at the end of life,11636745,At the end of our lives what do we most wish for For many its simply comfort respect love BJ Miller is a hospice and palliative medicine physician who thinks deeply about how to create a dignified graceful end of life for his patients Take the time to savor this moving talk which asks big questions about how we think on death and honor life,death|global issues|health|health care|life|medicine,0:19:07
Helen Fisher,1407,Why we love why we cheat,11621392,Anthropologist Helen Fisher takes on a tricky topic  love  and explains its evolution its biochemical foundations and its social importance She closes with a warning about the potential disaster inherent in antidepressant abuse,cognitive science|culture|evolution|gender|love|psychology|relationships|science,0:23:27
Meg Jay,889,Why 30 is not the new 20,11608790,Clinical psychologist Meg Jay has a bold message for twentysomethings Contrary to popular belief your 20s are not a throwaway decade In this provocative talk Jay says that just because marriage work and kids are happening later in life doesnt mean you cant start planning now She gives 3 pieces of advice for how twentysomethings can reclaim adulthood in the defining decade of their lives,aging|culture|goal-setting|youth,0:14:49
Lera Boroditsky,852,How language shapes the way we think,11422329,There are about 7000 languages spoken around the world  and they all have different sounds vocabularies and structures But do they shape the way we think Cognitive scientist Lera Boroditsky shares examples of language  from an Aboriginal community in Australia that uses cardinal directions instead of left and right to the multiple words for blue in Russian  that suggest the answer is a resounding yes The beauty of linguistic diversity is that it reveals to us just how ingenious and how flexible the human mind is Boroditsky says Human minds have invented not one cognitive universe but 7000,language|brain|science|cognitive science|humanity|communication|sound,0:14:12
Guy Winch,745,How to fix a broken heart,11404333,At some point in our lives almost every one of us will have our heart broken Imagine how different things would be if we paid more attention to this unique emotional pain Psychologist Guy Winch reveals how recovering from heartbreak starts with a determination to fight our instincts to idealize and search for answers that arent there  and offers a toolkit on how to eventually move on Our hearts might sometimes be broken but we dont have to break with them,addiction|compassion|humanity|depression|identity|love|personal growth|social change,0:12:25
Pattie Maes and Pranav Mistry,522,Meet the SixthSense interaction,11380320,This demo  from Pattie Maes lab at MIT spearheaded by Pranav Mistry  was the buzz of TED Its a wearable device with a projector that paves the way for profound interaction with our environment Imagine Minority Report and then some,demo|design|interface design|technology,0:08:42
Maysoon Zayid,853,I got 99 problems  palsy is just one,11235853,I have cerebral palsy I shake all the time Maysoon Zayid announces at the beginning of this exhilarating hilarious talk Really its hilarious Im like Shakira meets Muhammad Ali With grace and wit the ArabAmerican comedian takes us on a whistlestop tour of her adventures as an actress standup comic philanthropist and advocate for the disabled,comedy|entertainment|women|humor,0:14:13
Adam Driver,1082,My journey from Marine to actor,11154435,Before he fought in the galactic battles of Star Wars Adam Driver was a United States Marine with 11 Weapons Company He tells the story of how and why he became a Marine the complex transition from soldier to civilian  and Arts in the Armed Forces his nonprofit that brings theater to the military Because as he says Selfexpression is just as valuable a tool as a rifle on your shoulder Followed by a spirited performance of Marco Ramirezs I am not Batman by Jesse J Perez and Matt Johnson Adult language,collaboration|communication|entertainment|film|language|performance art|military|performance|theater|war,0:18:02
Guy Winch,1044,Why we all need to practice emotional first aid,11136331,Well go to the doctor when we feel fluish or a nagging pain So why dont we see a health professional when we feel emotional pain guilt loss loneliness Too many of us deal with common psychologicalhealth issues on our own says Guy Winch But we dont have to He makes a compelling case to practice emotional hygiene  taking care of our emotions our minds with the same diligence we take care of our bodies,|health|mental health|psychology|self|mindfulness,0:17:24
Andrew Solomon,1761,Depression the secret we share,11025806,The opposite of depression is not happiness but vitality and it was vitality that seemed to seep away from me in that moment In a talk equal parts eloquent and devastating writer Andrew Solomon takes you to the darkest corners of his mind during the years he battled depression That led him to an eyeopening journey across the world to interview others with depression  only to discover that to his surprise the more he talked the more people wanted to tell their own stories,|culture|depression|medicine|mental health|suicide,0:29:21
Netta Schramm,310,Why dont perpetual motion machines ever work,10990949,Perpetual motion machines  devices that can do work indefinitely without any external energy source  have captured many inventors imaginations because they could totally transform our relationship with energy Theres just one problem they dont work Why not Netta Schramm describes the pitfalls of perpetual motion machines Directed by TEDEd narrated by Addison Anderson,design|engineering|history|technology|invention|energy||animation,0:05:10
Lizzie Velsquez,791,How do you define yourself,10966678,Born with a rare disorder that prevents her from gaining weight Lizzie Velasquez has faced more negativity and bullying than most Over time shes developed a simple but effective coping mechanism Tell me those negative things she says Im gonna turn them around and use them as a ladder to climb up to my goals In this funny personal talk Lizzie shares her story  and the tools to help people reject hateful perspectives while embracing selfdefinition,personal growth|self|identity|humor|funny|life|motivation|goal-setting,0:13:11
